JOBSHIPMENTNO,JOBTYPE,JOBTYPENAME,SERVICETYPECODE,TMODE,SHPTORIGINCTRY,SHPTDESTCTRY,SERVICE_REMARK,TOTAL_RATING,TOTAL_SCORE
J20090098-1-S1,O,Outbound Job,DTD,Sea,Singapore,United Kingdom,"Friendly, professional and efficient.  Very happy with the service.  Will recommend to others.  Thank you Asian Tigers team!!!",40,10
J20090100-1-S1,I,Inbound Job,PTD,Sea,Indonesia,Singapore,Excellent service.  Phone call before arrival only improvement.,40,10
J20090105-1-S1,I,Inbound Job,PTD,Sea,"Korea, Republic of",Singapore,,40,10
J20090110-1-S1,O,Outbound Job,DTD,Sea,Singapore,Australia,,40,10
J20090113-1-S1,O,Outbound Job,DTD,Sea,Singapore,Australia,"Excellent team for the packing.  Great job.

Email:  
The team did such a great job. They were very professional and I could see how much care they took with my furniture and other items. They worked very hard over the 2 days.

",40,10
J20090117-1-S1,O,Outbound Job,DTP,Sea,Singapore,Switzerland,,38,9.5
J20090118-1-S1,I,Inbound Job,DTD,Sea,Hong Kong ,Singapore,,40,10
J20090131-1-S1,O,Outbound Job,DTP,Sea,Singapore,Ireland,"Exceptional level of Customer Services and brilliant experience from the lovely team that packed up.
",40,10
J20090138-1-S1,I,Inbound Job,DTD,Sea,India,Singapore,,31,7.75
J20090140-1-S1,O,Outbound Job,DTD,Sea,Singapore,United Arab Emirates,,40,10
J20090146-1-S1,I,Inbound Job,DTD,Sea,China,Singapore,,31,7.75
J20090157-1-S1,I,Inbound Job,PTD,Sea,Japan,Singapore,,40,10
J20090160-1-S2,O,Outbound Job,DTP,Sea,Singapore,India,Great team.  A stress-free experience.  Very efficient and punctual.,40,10
J20090167-1-S1,I,Inbound Job,PTD,Sea,Thailand,Singapore,Very disappointed about how our things were packed from our previous home (Bangkok).  But Singapore crew were very helpful.,35,8.75
J20090168-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,36,9
J20090169-1-S1,O,Outbound Job,DTP,Sea,Singapore,India,Very good work by the team.,40,10
J20090173-1-S1,O,Outbound Job,DTP,Sea,Singapore,Netherlands,"The crew was very efficient and flexible, that's what is required when relocating a whole family over the ocean.  Thank you!",36,9
J20090176-1-S1,O,Outbound Job,DTD,Sea,Singapore,United States,,40,10
J20090183-1-S1,I,Inbound Job,PTD,Sea,Thailand,Singapore,,40,10
J20090185-1-S1,I,Inbound Job,PTD,Sea,United States,Singapore,,40,10
J20090197-1-S1,O,Outbound Job,DTP,Sea,Singapore,United States,,40,10
J20090199-1-S1,O,Outbound Job,DTP,Sea,Singapore,Vietnam,Very efficient and very friendly!,40,10
J20090201-1-S2,O,Outbound Job,DTD,Sea,Singapore,United Kingdom,Very efficient and friendly team.  Great bunch of guys.  Thanks.,40,10
J20090202-1-S1,O,Outbound Job,DTP,Sea,Singapore,United States,,40,10
J20090207-1-S1,O,Outbound Job,DTP,Sea,Singapore,Australia,Excellent care and efficiency.  Worn masks throughout.  Very polite.,40,10
J20090210-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20090220-1-S1,O,Outbound Job,DTD,Sea,Singapore,Hong Kong ,,40,10
J20090232-1-S1,I,Inbound Job,PTD,Sea,United States,Singapore,,40,10
J20090246-1-A1,O,Outbound Job,DTP,Air,Singapore,India,"Packing crew did an excellent and professional job with due care to our household effects.  They were also humble and friendly throughout the process.

Good work team.  Keep up the good work.",36,9
J20090248-1-R1,O,Outbound Job,DTD,Road,Singapore,Malaysia,,40,10
J20090284-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,,40,10
J20090287-1-S1,O,Outbound Job,DTD,Sea,Singapore,United States,,40,10
J20090294-1-R1,I,Inbound Job,PTD,Road,Malaysia,Singapore,"Good responsive service.  Door-to-door taken care of.
Karim and team did a very good job.",38,9.5
