JOBSHIPMENTNO,JOBTYPE,JOBTYPENAME,SERVICETYPECODE,TMODE,SHPTORIGINCTRY,SHPTDESTCTRY,SERVICE_REMARK,TOTAL_RATING,TOTAL_SCORE
J20010001-1-A1,I,Inbound Job,PTD,Air,Japan,Singapore,,40,10
J20010003-1-S1,O,Outbound Job,DTD,Sea,Singapore,South Africa,The quote came in slightly cheaper than other moving companies. I cannot praise the team that came to help pack and move us. Khai and his 2 colleagues were punctual and so friendly. Really made moving easy for me. Thank you!,40,10
J20010004-1-S1,O,Outbound Job,DTP,Sea,Singapore,United States,"Very professional people.  Highly recommended for anyone to move.  Warm, courteous and did their job well.",40,10
J20010007-1-S1,I,Inbound Job,PTD,Sea,United States,Singapore,,40,10
J20010008-1-S1,I,Inbound Job,PTD,Sea,China,Singapore,"With regards to the dissembled furniture, the experience dealing is very unpleasant. I sincerely wish this would be solved ASAP> Awaiting for a satisfactory end. Thanks.",40,10
J20010009-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,,40,10
J20010013-1-S1,O,Outbound Job,DTD,Sea,Singapore,Taiwan,,40,10
J20010015-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,,40,10
J20010016-1-S1,I,Inbound Job,PTD,Sea,Vietnam,Singapore,"Great jobs by the team. Quick, tidy and well-organised.",40,10
J20010019-1-S2,O,Outbound Job,DTD,Sea,Singapore,Australia,,40,10
J20010021-1-A1,I,Inbound Job,PTD,Air,Hong Kong ,Singapore,"Ms Nurfifi provided excellent customer service. I was given a delivery slot of between 9am to 9.30am. As I had to leave the house at about 9.15 am for a prior appointment, I requested Ms Nurfifi to arrange for the delivery crew to arrive at 9am if possible. Ms Nurfifi kindly acceded to my request and the delivery crew exceeded my expectations by arriving at 8.30 am so delivery commenced at 8.50 am and was completed amply before 9.15am. Thank you Asian Tigers!",40,10
J20010021-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,"Very efficient, excellent movers!",40,10
J20010026-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,,31,7.75
J20010027-1-S1,O,Outbound Job,DTD,Sea,Singapore,Australia,"JJ and his team were well-organised, efficient and always helpful making our move all the more stress free. This is the 3rd time we have used Asian Tigers and the experience has always been excellent.",40,10
J20010028-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20010031-1-S1,O,Outbound Job,DTD,Sea,Singapore,Australia,,40,10
J20010033-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,"Very effective, friendly and careful crew. Thank you very much!",40,10
J20010034-1-R1,I,Inbound Job,PTD,Road,Malaysia,Singapore,"Excellent staff and service, Very thankful to them. Great people and professional 
Hard Working, Polite",40,10
J20010042-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,Fair quick shipment from HK to SG. Only 12 Days.,36,9
J20010043-1-S3,O,Outbound Job,DTD,Sea,Singapore,United Kingdom,"Karim and his team were amazing - helpful, thoughtful and careful. Thank you!",40,10
J20010044-1-S1,I,Inbound Job,DTD,Sea,United Kingdom,Singapore,Great service from entire team.,40,10
J20010045-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,,40,10
J20010047-1-A1,I,Inbound Job,PTD,Air,United States,Singapore,,40,10
J20010048-1-A1,I,Inbound Job,DTD,Air,Thailand,Singapore,Very good service.,40,10
J20010049-1-S1,I,Inbound Job,PTD,Sea,United States,Singapore,"Great job, Highly efficient, only one minor problems, most likely with packing on state side.Thank you.",40,10
J20010051-1-S1,O,Outbound Job,DTP,Sea,Singapore,"Korea, Republic of",Good.,40,10
J20010052-1-A1,I,Inbound Job,PTD,Air,United States,Singapore,,40,10
J20010052-1-S1,I,Inbound Job,PTD,Sea,United States,Singapore,Wonderful crew - delight to move in with.,40,10
J20010057-1-A1,O,Outbound Job,O,Air,Singapore,China,Delicate/enhanced excellent service. Fast also. Definitely would  recommend the service to my friends.,40,10
J20010058-1-S1,O,Outbound Job,DTD,Sea,Singapore,Australia,"Packing crew did a very excellent job. Thorough and precise, thank you!",35,8.75
J20010059-1-A1,I,Inbound Job,PTD,Air,Taiwan,Singapore,,40,10
J20010060-1-A1,I,Inbound Job,PTD,Air,United States,Singapore,,40,10
J20010068-1-S1,I,Inbound Job,PTD,Sea,Taiwan,Singapore,"I am happy with the crew in general, just that the internal communications between Taiwan and Singapore, my piano can't be in today which make me hesitate to answer the No. 4 questions above as ""Yes"".",26,6.5
J20010072-1-S1,I,Inbound Job,DTD,Sea,United States,Singapore,"Done a really good job in organizing the move in time of such confusion + chaos due to the viral situation.
Good job.",40,10
J20010075-1-S1,I,Inbound Job,PTD,Sea,New Zealand,Singapore,"Delivery was excellent. Personnel were very helpful and courteous. Correspondence prior to importation generally good. Perhaps more explanation about the process from ship to customer to delivery would help reduce concerns about delivery times/dates. Other wise, very good service.",36,9
J20010076-1-A1,I,Inbound Job,PTD,Air,United States,Singapore,,40,10
J20010077-1-S1,I,Inbound Job,PTD,Sea,"Korea, Democratic People's Republic of",Singapore,,40,10
J20010079-1-S1,I,Inbound Job,PTD,Sea,Australia,Singapore,,40,10
J20010087-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,Very pleased. Great crew.,40,10
J20010091-1-S1,O,Outbound Job,DTD,Sea,Singapore,Turkey,Perfect packing from estimate to full container.,40,10
J20010092-1-A1,I,Inbound Job,PTD,Air,Switzerland,Singapore,,40,10
J20010093-1-S1,O,Outbound Job,DTP,Sea,Singapore,Indonesia,"Hisham and team were careful in packing our belongings – especially those of sentimental value.  They were efficient and did not waste any time.  Great service.
",38,9.5
J20010100-1-S1,O,Outbound Job,DTP,Sea,Singapore,Indonesia,,40,10
J20010101-1-S1,O,Outbound Job,DTP,Sea,Singapore,United States,"Arrived on time/early and was very efficient, organised and professional.",40,10
J20010102-1-S1,O,Outbound Job,DTP,Sea,Singapore,"Korea, Republic of",,40,10
J20010104-1-A1,O,Outbound Job,DTP,Air,Singapore,United States,,40,10
J20010110-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20010112-1-S1,I,Inbound Job,PTD,Sea,"Korea, Republic of",Singapore,Awesome!,40,10
J20010113-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20010115-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,"Mike and team were professional, courteous and efficient.  Great Job!",40,10
J20010116-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20010118-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,Great experience.,40,10
J20010123-1-S1,I,Inbound Job,PTD,Sea,China,Singapore,,40,10
J20010128-1-A1,I,Inbound Job,DTD,Air,Brazil,Singapore,,40,10
J20010132-1-S1,O,Outbound Job,DTD,Sea,Singapore,Hong Kong ,,40,10
J20010133-1-S1,I,Inbound Job,PTD,Sea,Australia,Singapore,,40,10
J20010140-1-A1,I,Inbound Job,PTD,Air,Switzerland,Singapore,Amazing!,40,10
J20010141-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,Excellent Crew!,40,10
J20010153-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20010158-1-S1,O,Outbound Job,DTP,Sea,Singapore,Thailand,,40,10
J20010164-1-S2,O,Outbound Job,DTD,Sea,Singapore,India,,40,10
J20010167-1-S1,O,Outbound Job,DTP,Sea,Singapore,"Korea, Republic of",,40,10
J20010169-1-S1,O,Outbound Job,DTD,Sea,Singapore,Sweden,,34,8.5
J20010170-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20010172-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,34,8.5
J20010173-1-S1,O,Outbound Job,DTD,Sea,Singapore,China,"More advice on morning schedule prior to moving, esp on restrictions of moving to China.",38,9.5
J20010176-1-S1,O,Outbound Job,DTD,Sea,Singapore,Indonesia,,40,10
J20010179-1-S1,I,Inbound Job,PTD,Sea,Australia,Singapore,"Really excellent job by Mike & Team!  Hats off to them for their professionalism, and great customer service. A+++",40,10
J20010181-1-S1,I,Inbound Job,PTD,Sea,Japan,Singapore,Great! Very good.,40,10
J20010182-1-S1,I,Inbound Job,PTD,Sea,Thailand,Singapore,,40,10
J20010183-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20010190-1-A1,O,Outbound Job,O,Air,Singapore,Thailand,,40,10
J20010191-1-S1,I,Inbound Job,PTD,Sea,China,Singapore,Very well done by your staff.  The balance will be unpacked by us.  Thank you for your help.,40,10
J20010192-1-S1,I,Inbound Job,PTD,Sea,Thailand,Singapore,,34,8.5
J20010195-1-R2,L,Local Move Job,DTD,Road,Singapore,Singapore,,28,7
J20010197-1-S1,O,Outbound Job,DTP,Sea,Singapore,Germany,,40,10
J20010205-1-S1,O,Outbound Job,DTD,Sea,Singapore,Sri Lanka,The work is very good.,40,10
J20010206-1-S1,I,Inbound Job,PTD,Sea,Switzerland,Singapore,Very good crew. Very professional and helpful.,40,10
J20010207-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,Irlan & his crew were exceptional and a credit to Asian Tigers.  They made life very easy for us!  Thank you.,30,7.5
J20010208-1-A1,I,Inbound Job,PTD,Air,Germany,Singapore,,28,7
J20010210-1-S1,O,Outbound Job,DTP,Sea,Singapore,China,"Very efficient, professional and friendly!",40,10
J20010211-1-R1,I,Inbound Job,PTD,Road,Malaysia,Singapore,"I indicated 'good' above as service recovery was reasonable.  However, 20% of our goods were not shipped from MY.  We were not informed and had to pay $1000 extra.  This was even though we indicated if things did not fit into a container. what could be left behind.  One bed remain partially un-assembled.",24,6
J20010212-1-S1,O,Outbound Job,DTD,Sea,Singapore,United Kingdom,Great services.  Guys good and efficient.  Thanks.,40,10
J20010213-1-S1,I,Inbound Job,PTD,Sea,Vietnam,Singapore,Movers were very professional and helpful.,40,10
J20010214-1-S2,O,Outbound Job,DTD,Sea,Singapore,Australia,Very professional and experienced re-locator. Attention to detail.,40,10
J20010218-1-S1,O,Outbound Job,DTP,Sea,Singapore,Canada,,40,10
J20010220-1-A1,O,Outbound Job,O,Air,Singapore,Japan,They are very nice and funny!,40,10
J20010221-1-A1,O,Outbound Job,O,Air,Singapore,Japan,They are professional!,40,10
J20010226-1-S1,O,Outbound Job,DTD,Sea,Singapore,China,,40,10
J20010231-1-A2,O,Outbound Job,DTP,Air,Singapore,United States,,40,10
J20010235-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,"The crew were absolutely excellent from communication to care in packing & placing item in the new address.
This way a challenging move with not ideal circumstances as the house is still under renovation.
The team worked tirelessly to take care of us and our belonging.
Thank you!!",40,10
J20010236-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,,40,10
J20010238-1-S1,I,Inbound Job,PTD,Sea,United States,Singapore,"Lovely staff a few damages but it was from packaging in New York.
Singapore team was very careful.",40,10
J20010242-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,Rashid and team have been very attentive and helpful throughout the move. Will definitely recommend to friends on K C Dat from my experience with Rashid and team.,40,10
J20010243-1-S1,O,Outbound Job,DTP,Sea,Singapore,Hong Kong ,Herman and team worked efficiently.  They are so accommodating.  James is great at re-assuring that everything will be fine – no stress!  Would certainly recommend them to my friends.,40,10
J20010244-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,,40,10
J20010249-1-S1,I,Inbound Job,PTD,Sea,India,Singapore,Great job guys!  Keep up the good work!!!  Thanks a bunch.,40,10
J20010257-1-A1,I,Inbound Job,PTD,Air,Canada,Singapore,,40,10
J20010260-1-A1,O,Outbound Job,DTP,Air,Singapore,Japan,,40,10
J20010267-1-A1,I,Inbound Job,PTD,Air,India,Singapore,,40,10
J20010269-1-S1,I,Inbound Job,DTD,Sea,Australia,Singapore,,36,9
J20010276-1-S1,I,Inbound Job,PTD,Sea,United States,Singapore,The guys were incredible and did an amazing job.  They were super hardworking and polite.  Will use again.,40,10
J20010277-1-A1,I,Inbound Job,PTD,Air,United Kingdom,Singapore,,38,9.5
J20010277-1-S1,I,Inbound Job,PTD,Sea,United Kingdom,Singapore,,40,10
J20010278-1-S1,O,Outbound Job,DTP,Sea,Singapore,Philippines,,40,10
J20010287-1-S1,O,Outbound Job,DTD,Sea,Singapore,Austria,"Excellent work!  Professional, efficient!  We will definitely recommend Asian Tigers to others.",40,10
J20010291-1-S1,O,Outbound Job,DTD,Sea,Singapore,Czech Republic,,40,10
J20010293-1-S1,O,Outbound Job,DTD,Sea,Singapore,Japan,,40,10
J20020001-1-S1,O,Outbound Job,DTD,Sea,Singapore,Australia,,40,10
J20020002-1-S1,O,Outbound Job,DTD,Sea,Singapore,Philippines,Very efficient team.  They took care of our belongings.  Thank you team.,40,10
J20020003-1-S1,O,Outbound Job,DTD,Sea,Singapore,Thailand,"Great service, will recommend to friends.",40,10
J20020004-1-S1,O,Outbound Job,DTP,Sea,Singapore,Sweden,Great attitude entire crew.,40,10
J20020007-1-A1,O,Outbound Job,O,Air,Singapore,Japan,Very fast and nicely done.  Thank you for your work!!,40,10
J20020014-1-S1,I,Inbound Job,PTD,Sea,"Korea, Republic of",Singapore,,34,8.5
J20020016-1-S1,I,Inbound Job,DTD,Sea,United States,Singapore,,40,10
J20020017-1-S1,I,Inbound Job,DTD,Sea,India,Singapore,"1)  I was not aware that there would be no stacking.  I was later informed that this  only comes with a valet service.  Upfront knowledge of this would have been helpful.  
2)  Insurance rates are exorbitant and policy very one sided.",34,8.5
J20020021-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,"Hisham professional, very patient, listens to instructions.
Thank you.",40,10
J20020029-1-S1,I,Inbound Job,PTD,Sea,"Korea, Republic of",Singapore,,40,10
J20020032-1-A1,I,Inbound Job,PTD,Air,Thailand,Singapore,,40,10
J20020036-1-A1,I,Inbound Job,PTD,Air,Thailand,Singapore,"Friendly and good service.  But too many forms, not environment friendly.  Thanks.",40,10
J20020037-1-S1,O,Outbound Job,DTP,Sea,Singapore,Antigua and Barbuda,"Efficient, taking great care of our possessions, courteous and great team to have around.
Salihin organized all parts of the move and team with great efficiency.
",40,10
J20020038-1-S1,I,Inbound Job,PTD,Sea,Philippines,Singapore,,40,10
J20020041-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,Great job!  Very professional and very fast.  Thank you very much!  Mike like engineer.,40,10
J20020044-1-S1,O,Outbound Job,DTD,Sea,Singapore,Australia,"Fantastic, exceptionally organized.  Minimal fuss and all care taken.  Friendly and helpful.  Kept me updated.",40,10
J20020046-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,I would recommend your Singapore team but not your Hong Kong team.,38,9.5
J20020047-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,"We have a very efficient and attentive team.
Attitude is everything. They certainly care up to it!!Thank you guys.
We will definitely consider your company for our next move and international move.",40,10
J20020051-1-S1,I,Inbound Job,PTD,Sea,Poland,Singapore,,40,10
J20020057-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,"Very positive experience.
Thank you.",40,10
J20020058-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,31,7.75
J20020059-1-S1,O,Outbound Job,DTP,Sea,Singapore,Japan,Great,40,10
J20020062-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,38,9.5
J20020065-1-A1,I,Inbound Job,PTD,Air,Qatar,Singapore,,40,10
J20020066-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,,40,10
J20020070-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,Team was great,40,10
J20020072-1-S2,O,Outbound Job,DTD,Sea,Singapore,United Kingdom,Excellent Job!  Very co-operative and friendly.,40,10
J20020073-1-A1,I,Inbound Job,PTD,Air,Hong Kong ,Singapore,,40,10
J20020078-1-A1,I,Inbound Job,PTD,Air,Australia,Singapore,Good communication throughout the process and team was on time. Would highly recommend.,40,10
J20020079-1-R2,L,Local Move Job,DTD,Road,Singapore,Singapore,,34,8.5
J20020080-1-S1,I,Inbound Job,PTD,Sea,Australia,Singapore,"Yoga was excellent in supporting us and answering our questions in advance of the move. He always responded to our emails quickly and showed great care and concern for our personal belongings.
The team was punctual, polite and efficient in unpacking. Would highly recommend.",40,10
J20020084-1-S2,O,Outbound Job,DTD,Sea,Singapore,United Kingdom,Great crew.Very friendly and efficient.,40,10
J20020085-1-S1,I,Inbound Job,PTD,Sea,"Korea, Republic of",Singapore,,40,10
J20020088-1-S1,O,Outbound Job,DTD,Sea,Singapore,Netherlands,"All went very smooth, many thanks.",40,10
J20020090-1-S1,O,Outbound Job,DTP,Sea,Singapore,Netherlands,,40,10
J20020091-1-S1,I,Inbound Job,PTD,Sea,Thailand,Singapore,Workers good attitude and helpful.,40,10
J20020092-1-A1,O,Outbound Job,O,Air,Singapore,Thailand,,40,10
J20020093-1-A1,O,Outbound Job,DTP,Air,Singapore,Germany,"Well done, thanks!",40,10
J20020094-1-S1,O,Outbound Job,DTD,Sea,Singapore,Hong Kong ,,40,10
J20020096-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,,38,9.5
J20020097-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,"Good team attitude, I wish they had another 1 or 2 hands to speed up day 2.
Overall, I will use Asian Tigers again.",36,9
J20020099-1-S1,I,Inbound Job,DTD,Sea,Indonesia,Singapore,On time and delivery was smooth.,34,8.5
J20020103-1-S1,I,Inbound Job,PTD,Sea,"Korea, Republic of",Singapore,,40,10
J20020104-1-S1,I,Inbound Job,PTD,Sea,"Korea, Republic of",Singapore,,40,10
J20020106-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20020111-1-S1,I,Inbound Job,PTD,Sea,United Kingdom,Singapore,,40,10
J20020112-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,"Team was speedy and prompt,helpful and courteous, efficient would definitely recommend to others.
Well done.",40,10
J20020116-1-S1,O,Outbound Job,DTP,Sea,Singapore,Japan,"Awesome crew
Friendly, polite , careful , helpful",40,10
J20020118-1-S1,I,Inbound Job,PTD,Sea,France,Singapore,,40,10
J20020119-1-S1,O,Outbound Job,DTP,Sea,Singapore,Thailand,,38,9.5
J20020121-1-S1,O,Outbound Job,DTD,Sea,Singapore,France,,40,10
J20020123-1-S1,O,Outbound Job,DTP,Sea,Singapore,Australia,"Very good on all fronts. Khai an effective, yet affable supervisor. 
Asian Tigers noted to be good and used by a passer by professional effort.Thanks.",40,10
J20020124-1-S1,I,Inbound Job,PTD,Sea,"Korea, Republic of",Singapore,"Proactive, kind crews.Thank you.",40,10
J20020126-1-S1,O,Outbound Job,DTD,Sea,Singapore,Norway,,40,10
J20020127-1-S1,I,Inbound Job,PTD,Sea,"Korea, Republic of",Singapore,,40,10
J20020130-1-S1,O,Outbound Job,DTP,Sea,Singapore,Denmark,"Careful handling our thing.
Polite and friendly through our.
Would recommend Asian Tigers any day.",40,10
J20020141-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,Very nice experience made it easy.,40,10
J20020144-1-S1,O,Outbound Job,DTP,Sea,Singapore,Philippines,,40,10
J20020146-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,"The team worked with me extremely well and would be very happy use the same team again.In fact,i would probably request it!",40,10
J20020147-1-S1,I,Inbound Job,DTD,Sea,Australia,Singapore,,40,10
J20020156-1-S1,I,Inbound Job,PTD,Sea,Australia,Singapore,,40,10
J20020158-1-S1,I,Inbound Job,PTD,Sea,Australia,Singapore,,40,10
J20020159-1-S1,I,Inbound Job,PTD,Sea,Australia,Singapore,Very good job,40,10
J20020163-1-S1,I,Inbound Job,PTD,Sea,Australia,Singapore,,40,10
J20020164-1-S1,I,Inbound Job,PTD,Sea,Australia,Singapore,"Very happy with the packer here,however was not happy with the service I received in Sydney with the packing.",40,10
J20020167-1-S1,O,Outbound Job,DTP,Sea,Singapore,Japan,,40,10
J20020169-1-S1,O,Outbound Job,DTD,Sea,Singapore,Australia,"Fast , Organised 
Split you workload well
Always on time and in good spirit - polite and happy
Team was respectful of my wishes and the items(were antiques)",38,9.5
J20020171-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,"Crew most friendly and super efficient.
Everything was handled with care and no question or ask too much.",40,10
J20020173-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,"Very hardworking, fast and efficient",40,10
J20020175-1-S2,O,Outbound Job,DTD,Sea,Singapore,Australia,,40,10
J20020176-1-S2,O,Outbound Job,DTD,Sea,Singapore,New Zealand,"The entire team has been very friendly ,informative and helpful.
I would certainly recommend the company to others.",40,10
J20020178-1-S1,O,Outbound Job,DTP,Sea,Singapore,United States,,40,10
J20020180-1-S1,O,Outbound Job,DTP,Sea,Singapore,Myanmar,"Overall it was a very good experience.
Very professional in the way the team.
Dealt with us and completed the packing.",38,9.5
J20020183-1-S1,I,Inbound Job,PTD,Sea,Spain,Singapore,,40,10
J20020184-1-S1,O,Outbound Job,DTP,Sea,Singapore,Romania,,40,10
J20020186-1-S1,I,Inbound Job,PTD,Sea,"Korea, Republic of",Singapore,,31,7.75
J20020187-1-S1,I,Inbound Job,PTD,Sea,Japan,Singapore,,40,10
J20020190-1-A1,I,Inbound Job,PTD,Air,Thailand,Singapore,,36,9
J20020197-1-S1,I,Inbound Job,PTD,Sea,Australia,Singapore,,40,10
J20020201-1-A1,I,Inbound Job,PTD,Air,United States,Singapore,,40,10
J20020202-1-S1,O,Outbound Job,DTD,Sea,Singapore,United Arab Emirates,"Second time we have used Asian Tigers and service is amazing.
Great team and great work!",40,10
J20020207-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20020208-1-A1,O,Outbound Job,DTP,Air,Singapore,United States,,40,10
J20020210-1-S1,O,Outbound Job,DTD,Sea,Singapore,Saudi Arabia,The Supervisor (Dadi) was very professional.  He was able to effectively co-ordinate the job with his team.  He always takes late break/lunch while his team goes so that he can finish the job quickly.  I highly comment Dadi and his team’s performance.   Packing was done swiftly and neatly.,40,10
J20020215-1-S1,O,Outbound Job,DTP,Sea,Singapore,United Kingdom,,40,10
J20020216-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20020219-1-S1,I,Inbound Job,PTD,Sea,United States,Singapore,He was very helpful and noted when cushions for our sofa were missing. Nice job.,40,10
J20020221-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20020223-1-S1,I,Inbound Job,PTD,Sea,India,Singapore,"Very much appreciable. Even when the ship arrived late, Asian Tigers took initiative to help serve.
The delivery fast on special request.
Team is also very good and professional.",40,10
J20020231-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20020232-1-S1,I,Inbound Job,PTD,Sea,India,Singapore,,40,10
J20020236-1-S1,I,Inbound Job,PTD,Sea,"Korea, Republic of",Singapore,,40,10
J20020237-1-A1,I,Inbound Job,PTD,Air,Italy,Singapore,,40,10
J20020244-1-S1,O,Outbound Job,DTP,Sea,Singapore,Taiwan,,40,10
J20020245-1-S1,O,Outbound Job,DTP,Sea,Singapore,Hong Kong ,,40,10
J20020250-1-A1,O,Outbound Job,DTP,Air,Singapore,United States,,40,10
J20020255-1-S3,O,Outbound Job,DTD,Sea,Singapore,United Kingdom,,40,10
J20020258-1-S1,O,Outbound Job,DTD,Sea,Singapore,Australia,Very friendly and checked that I understood everything.,40,10
J20020262-1-S1,O,Outbound Job,DTP,Sea,Singapore,Belgium,"The team was great, nice, did a great job.  Thank you.",40,10
J20020264-1-S1,I,Inbound Job,PTD,Sea,Cayman Islands,Singapore,"Very efficient, very friendly, extremely helpful and careful!",40,10
J20020265-1-S1,O,Outbound Job,DTD,Sea,Singapore,Brazil,Mr Dadi and his team did a terrific job with the packing and moving.  They are very professional and special thanks to Mr Dadi for his flawless organization and commitment.,40,10
J20020270-1-S1,I,Inbound Job,PTD,Sea,Germany,Singapore,,40,10
J20020274-1-S1,O,Outbound Job,DTP,Sea,Singapore,Belgium,Very professional,38,9.5
J20020276-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,,40,10
J20020279-1-S1,O,Outbound Job,DTD,Sea,Singapore,France,Well done.  Keep it up.,40,10
J20030003-1-S1,O,Outbound Job,DTD,Sea,Singapore,United States,,40,10
J20030009-1-S1,I,Inbound Job,PTD,Sea,Thailand,Singapore,,40,10
J20030011-1-S1,O,Outbound Job,DTD,Sea,Singapore,United Kingdom,,38,9.5
J20030012-1-S1,O,Outbound Job,DTP,Sea,Singapore,Netherlands,,38,9.5
J20030016-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,Out of any moving team we dealt with in Asian Tigers.  Irman and his team by far was the best we had.  Thank you so much for care and attention to our belonging.,40,10
J20030019-1-A1,O,Outbound Job,O,Air,Singapore,Malaysia,,40,10
J20030020-1-S1,O,Outbound Job,DTD,Sea,Singapore,United States,Amazing team. Would gladly recommend them.,40,10
J20030023-1-S1,O,Outbound Job,DTD,Sea,Singapore,Japan,,40,10
J20030024-1-S1,O,Outbound Job,DTD,Sea,Singapore,Japan,"All person are skillful for packing, and it is very reliable.
""Looks"" means currently i have not received the packing.
I am satisfied with their works. Many thanks.",40,10
J20030026-1-S1,I,Inbound Job,PTD,Sea,Vietnam,Singapore,,40,10
J20030029-1-S1,I,Inbound Job,PTD,Sea,United Kingdom,Singapore,"Very professional
Very careful
Very helpful",40,10
J20030030-1-A1,O,Outbound Job,DTP,Air,Singapore,Japan,,40,10
J20030031-1-S2,O,Outbound Job,DTD,Sea,Singapore,United States,"Packing team was fantastic, communication well through the process and super helpful with any questions or requests that i had.",40,10
J20030033-1-A1,I,Inbound Job,PTD,Air,Thailand,Singapore,,40,10
J20030037-1-S1,O,Outbound Job,DTD,Sea,Singapore,Taiwan,,40,10
J20030043-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,,38,9.5
J20030046-1-S1,O,Outbound Job,DTD,Sea,Singapore,India,,38,9.5
J20030053-1-S1,I,Inbound Job,PTD,Sea,Australia,Singapore,"Great team, Caring and thoughtful.  Everything was unloaded in an efficient and careful manner.",40,10
J20030054-1-S1,I,Inbound Job,PTD,Sea,Germany,Singapore,"Good job and efficient.  Unfortunately, the packing was not good enough but it should be handled.",40,10
J20030055-1-S1,I,Inbound Job,PTD,Sea,United States,Singapore,,40,10
J20030056-1-S1,O,Outbound Job,DTP,Sea,Singapore,Indonesia,,40,10
J20030057-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,"Very professional,courteous and fast crew.
Would recommend crew to friends and colleagues.",40,10
J20030059-1-S1,I,Inbound Job,PTD,Sea,Thailand,Singapore,"Great service,courteous , efficient.",40,10
J20030069-1-S2,O,Outbound Job,DTD,Sea,Singapore,United Kingdom,,40,10
J20030074-1-S1,O,Outbound Job,DTP,Sea,Singapore,"Korea, Republic of",,40,10
J20030076-1-S1,I,Inbound Job,PTD,Sea,Canada,Singapore,,40,10
J20030089-1-S1,I,Inbound Job,PTD,Sea,Netherlands,Singapore,,40,10
J20030092-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,Very good.,36,9
J20030093-1-S1,O,Outbound Job,DTD,Sea,Singapore,United States,,40,10
J20030097-1-A1,O,Outbound Job,DTP,Air,Singapore,United Kingdom,,40,10
J20030098-1-S1,O,Outbound Job,DTP,Sea,Singapore,Japan,Thank you for the very smooth operation.,40,10
J20030116-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,"Very professional, friendly and helpful.
Will definitely recommend.",40,10
J20030118-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,"Excellent team work and very friendly crew.
1000 Thanks.",40,10
